id_municipio,ano,incremento,floresta
1101500,2020,31.8,1736.5
1101559,2014,0.0,22.2
1101559,2015,0.4,21.9
1101559,2016,0.1,21.8
1101559,2017,0.0,21.8
1101559,2018,0.0,21.8
1101559,2019,0.3,21.5
1101559,2020,0.4,21.1
1101609,2014,3.7,459.9
1101609,2015,4.3,455.6
1101609,2016,4.2,451.3
1101609,2017,3.5,447.9
1101609,2018,2.6,445.3
1101609,2019,5.8,439.5
1101609,2020,4.7,434.8
1101708,2014,0.8,52.2
1101708,2015,1.0,51.2
1101708,2016,1.1,50.1
1101708,2017,0.9,49.2
1101708,2018,0.8,48.3
1101708,2019,0.4,47.9
1101708,2020,1.1,46.9
1101757,2014,11.0,1901.3
1101757,2015,14.5,1886.8
1101757,2016,19.7,1867.0
1101757,2017,10.5,1856.5
1101757,2018,9.0,1847.5
1101757,2019,9.2,1838.3
1101757,2020,7.2,1831.1
1101807,2014,1.5,98.9
1101807,2015,1.3,97.7
1101807,2016,4.0,93.7
1101807,2017,5.0,88.7
1101807,2018,3.1,85.6
1101807,2019,1.9,83.6
1101807,2020,2.1,81.6
1200013,2014,17.3,739.2
1200013,2015,15.2,727.5
1200013,2016,24.5,700.4
1200013,2017,5.5,697.6
1200013,2018,23.8,673.1
1200013,2019,20.4,652.7
1200013,2020,13.0,639.7
1200054,2014,4.1,4878.5
1200054,2015,6.1,4510.5
1200054,2016,3.0,4875.4
1200054,2017,2.9,4732.2
1200054,2018,9.5,4714.8
1200054,2019,22.8,4863.5
1200054,2020,4.9,4858.6
1200104,2014,35.6,2700.5
1200104,2015,22.8,2689.5
1200104,2016,18.3,2661.3
1200104,2017,27.0,2644.2
1200104,2018,24.4,2043.5
1200104,2019,62.3,2560.5
1200104,2020,53.1,2507.3
1200138,2014,11.4,1784.5
1200138,2015,9.6,1878.1
1200138,2016,18.1,1860.0
1200138,2017,14.5,1768.8
1200138,2018,15.8,1835.9
1200138,2019,27.1,1808.8
1200138,2020,22.8,1786.0
1200179,2014,9.9,866.8
1200179,2015,6.2,870.1
1200179,2016,17.1,847.5
1200179,2017,11.8,841.8
1200179,2018,11.8,830.2
1200179,2019,28.4,801.7
1200179,2020,19.4,782.3
1200203,2014,11.2,7894.2
1200203,2015,3.4,7877.0
1200203,2016,9.3,8118.1
1200203,2017,9.3,8043.5
1200203,2018,18.2,8119.0
1200203,2019,26.2,8064.2
1200203,2020,40.8,7655.6
1200252,2014,10.6,828.7
1200252,2015,10.1,835.6
1200252,2016,7.6,827.2
1200252,2017,10.4,817.6
1200252,2018,8.8,813.5
1200252,2019,11.6,801.9
1200252,2020,11.8,786.6
1200302,2014,36.1,27586.1
1200302,2015,11.3,27360.1
1200302,2016,40.3,27572.1
1200302,2017,25.8,27604.7
1200302,2018,83.3,27517.8
1200302,2019,97.7,27420.1
1200302,2020,88.3,27331.7
1200328,2014,7.1,5288.8
1200328,2015,0.9,4944.5
1200328,2016,2.3,5456.7
1200328,2017,2.6,5469.1
1200328,2018,7.2,5461.9
1200328,2019,11.8,5450.1
1200328,2020,11.9,5438.0
1200336,2014,2.6,5160.0
1200336,2015,2.3,5282.9
1200336,2016,3.1,2365.4
1200336,2017,1.6,5275.5
1200336,2018,3.9,5289.7
1200336,2019,12.9,5214.4
1200336,2020,4.8,5264.6
1200344,2014,18.8,10718.8
1200344,2015,19.7,10720.2
1200344,2016,27.8,10687.6
1200344,2017,14.4,10677.9
1200344,2018,49.7,1010.2
1200344,2019,32.9,10591.2
1200344,2020,48.8,10542.4
1200351,2014,8.9,8081.1
1200351,2015,0.5,7800.1
1200351,2016,2.8,8258.5
1200351,2017,2.9,8324.5
1200351,2018,4.3,8320.2
1200351,2019,14.6,8305.6
1200351,2020,29.8,8204.0
1200385,2014,9.1,528.0
1200385,2015,5.5,530.1
1200385,2016,8.1,517.0
1200385,2017,5.5,516.5
1200385,2018,12.8,504.1
1200385,2019,9.3,494.7
1200385,2020,8.9,485.8
1200393,2014,9.8,6121.2
1200393,2015,1.5,6125.6
1200393,2016,4.5,6403.1
1200393,2017,3.3,6441.9
1200393,2018,5.0,6436.9
1200393,2019,9.4,6427.5
1200393,2020,24.7,6269.4
1200401,2014,34.9,6449.4
1200401,2015,31.3,6431.0
1200401,2016,53.7,6377.8
1200401,2017,27.6,6308.7
1200401,2018,37.0,6025.4
1200401,2019,82.6,6231.0
1200401,2020,57.0,6174.0
1200427,2014,1.2,2698.1
1200427,2015,2.6,2698.6
1200427,2016,5.7,2409.5
1200427,2017,5.9,2731.5
1200427,2018,10.9,2723.7
1200427,2019,14.2,2706.1
1200427,2020,17.8,2664.6
1200435,2014,4.0,6181.6
1200435,2015,2.3,6225.4
1200435,2016,2.2,6212.4
1200435,2017,2.8,6221.2
1200435,2018,3.4,2049.5
1200435,2019,7.3,6210.5
1200435,2020,5.3,6205.2
1200450,2014,3.2,686.1
1200450,2015,5.0,681.2
1200450,2016,9.2,671.6
1200450,2017,4.2,667.7
1200450,2018,9.1,657.4
1200450,2019,6.8,650.6
1200450,2020,8.0,642.5
