Nr,Lat,Long,Latgms,Longms,Municipio,CodIbge,Estado,AreaKm2,Desmatado2018,Incremento20172018,Floresta2018,Nuvem2018,NaoObservado2018,NaoFloresta2018,Hidrografia2018,Soma 
 73,-5.68166,-48.73065,S 5 40 53.98,O 48 43 50.34,São Domingos do Araguaia,1507151,PA,1397,1295.7,1.2,100.7,0.6,0.0,0.0,0.0,100
 74,-2.07583,-49.08754,S 2 4 32.99,O 49 5 15.14,Igarapé-Miri,1503309,PA,2004,482.2,1.2,957.3,39.4,0.0,203.3,321.8,100
 75,-0.80608,-47.47954,S 0 48 21.89,O 47 28 46.34,Maracanã,1504307,PA,860,329.6,1.2,369.5,6.3,0.0,33.2,121.4,100
 76,-0.70617,-47.85268,S 0 42 22.21,O 47 51 9.65,Curuçá,1502905,PA,675,274.6,1.1,330.4,0.1,0.0,0.9,69.0,99
 77,-2.28082,-49.51546,S 2 16 50.95,O 49 30 55.66,Cametá,1502103,PA,3090,1118.5,1.1,726.9,138.4,0.0,657.9,448.3,100
 78,-6.48129,-50.03153,S 6 28 52.64,O 50 1 53.51,Canaã dos Carajás,1502152,PA,3156,1745.1,1.0,1300.8,4.4,0.0,105.6,0.1,99
 79,-4.96265,-48.39406,S 4 57 45.54,O 48 23 38.62,Abel Figueiredo,1500131,PA,616,567.7,1.0,48.3,0.0,0.0,0.0,0.0,100
 80,-2.22129,-47.08493,S 2 13 16.64,O 47 5 5.75,Garrafão do Norte,1503077,PA,1610,1436.7,1.0,147.6,25.7,0.0,0.0,0.0,100
 81,-6.16889,-48.75597,S 6 10 8.00,O 48 45 21.49,São Geraldo do Araguaia,1507458,PA,3181,2503.5,1.0,331.5,2.7,0.0,314.1,29.2,99
 82,-5.76373,-48.49835,S 5 45 49.43,O 48 29 54.06,Brejo Grande do Araguaia,1501758,PA,1292,1070.9,1.0,164.6,0.0,0.0,29.8,26.7,100
 83,-2.48368,-50.18049,S 2 29 1.25,O 50 10 49.76,Bagre,1501105,PA,4403,210.0,0.9,2514.2,1360.5,0.0,61.5,256.8,100
 84,-1.27265,-48.50024,S 1 16 21.54,O 48 30 0.86,Belém,1501402,PA,1070,250.7,0.9,230.9,0.0,0.0,7.1,581.3,100
 85,-6.25014,-49.69278,S 6 15 0.50,O 49 41 34.01,Curionópolis,1502772,PA,2375,2061.7,0.9,275.6,33.1,0.0,4.6,0.0,99
 86,-1.65367,-48.05474,S 1 39 13.21,O 48 3 17.06,Bujaru,1501907,PA,1010,666.6,0.9,272.3,0.0,0.0,11.8,59.3,100
 87,-0.77509,-47.26758,S 0 46 30.32,O 47 16 3.29,São João de Pirabas,1507474,PA,703,210.6,0.9,173.7,224.4,0.0,12.9,81.4,100
 88,-1.92729,-47.75973,S 1 55 38.24,O 47 45 35.03,São Domingos do Capim,1507201,PA,1686,1355.2,0.9,275.3,4.4,0.0,15.2,35.9,100
 89,-6.84864,-49.25551,S 6 50 55.10,O 49 15 19.84,Xinguara,1508407,PA,3793,3379.8,0.9,353.1,42.5,0.0,0.0,17.6,100
 90,-1.44539,-48.63703,S 1 26 43.40,O 48 38 13.31,Barcarena,1501303,PA,1316,334.0,0.8,435.0,17.4,0.0,1.9,527.7,99
 91,-0.80045,-47.75464,S 0 48 1.62,O 47 45 16.70,Marapanim,1504406,PA,795,404.3,0.8,299.5,0.7,0.0,41.6,48.9,100
 92,-5.90983,-48.35503,S 5 54 35.39,O 48 21 18.11,Palestina do Pará,1505494,PA,985,827.5,0.8,131.6,0.0,0.0,0.3,25.6,100
 93,-1.55275,-47.62771,S 1 33 9.90,O 47 37 39.76,São Miguel do Guamá,1507607,PA,1117,890.7,0.7,178.9,0.0,0.0,15.2,32.2,99
 94,-1.73866,-48.85524,S 1 44 19.18,O 48 51 18.86,Abaetetuba,1500107,PA,1617,696.8,0.6,468.6,24.4,0.0,13.6,413.6,100
 95,-0.86850,-47.96322,S 0 52 6.60,O 47 57 47.59,São João da Ponta,1507466,PA,197,110.2,0.6,73.8,0.0,0.0,1.7,11.3,100
 96,-1.36752,-48.12871,S 1 22 3.07,O 48 7 43.36,Santa Isabel do Pará,1506500,PA,720,537.8,0.5,157.3,0.0,0.0,4.1,20.8,99
 97,-1.16917,-47.40530,S 1 10 9.01,O 47 24 19.08,Nova Timboteua,1505007,PA,492,379.2,0.5,83.9,5.4,0.0,19.5,4.0,99
 98,-0.82105,-47.63978,S 0 49 15.78,O 47 38 23.21,Magalhães Barata,1504109,PA,326,163.8,0.5,132.1,0.2,0.0,2.3,27.6,100
 99,-1.87841,-47.97492,S 1 52 42.28,O 47 58 29.71,Concórdia do Pará,1502756,PA,695,613.4,0.5,80.4,0.9,0.0,0.0,0.3,100
 100,-0.82301,-48.03573,S 0 49 22.84,O 48 2 8.63,São Caetano de Odivelas,1507102,PA,752,234.6,0.5,195.1,0.0,0.0,8.8,313.5,100
 101,-1.15638,-50.43788,S 1 9 22.97,O 50 26 16.37,Breves,1501808,PA,9572,544.7,0.5,6119.1,1799.1,0.0,86.2,1022.9,100
 102,-1.26528,-47.93713,S 1 15 55.01,O 47 56 13.67,Castanhal,1502400,PA,1034,906.2,0.4,126.7,0.0,0.0,0.0,1.1,100
 103,-1.48763,-47.12672,S 1 29 15.47,O 47 7 36.19,Ourém,1505403,PA,565,500.2,0.4,58.0,5.1,0.0,1.4,0.3,100
 104,-7.72486,-50.13413,S 7 43 29.50,O 50 8 2.87,Pau D'Arco,1505551,PA,1674,939.3,0.4,323.0,0.0,0.0,411.7,0.0,100
 105,-0.99347,-47.84850,S 0 59 36.49,O 47 50 54.60,Terra Alta,1507961,PA,209,172.3,0.3,36.7,0.0,0.0,0.0,0.0,100
 106,-1.83573,-47.39886,S 1 50 8.63,O 47 23 55.90,Irituia,1503507,PA,1387,1216.6,0.3,147.3,2.6,0.0,17.2,3.3,99
 107,-8.05636,-50.21305,S 8 3 22.90,O 50 12 46.98,Redenção,1506138,PA,3830,2663.3,0.3,453.8,7.9,0.0,705.0,0.0,100
 108,-2.54950,-49.35737,S 2 32 58.20,O 49 21 26.53,Mocajuba,1504604,PA,872,493.6,0.3,129.4,5.9,0.0,168.2,74.9,100
 109,-0.95528,-46.65764,S 0 57 19.01,O 46 39 27.50,Bragança,1501709,PA,2107,1724.8,0.3,168.1,120.3,0.0,37.6,56.2,100
 110,-1.12505,-47.27210,S 1 7 30.18,O 47 16 19.56,Peixe-Boi,1505601,PA,454,363.7,0.3,62.2,7.3,0.0,17.1,3.7,100
 111,-0.70803,-47.35142,S 0 42 28.91,O 47 21 5.11,Salinópolis,1506203,PA,219,33.1,0.3,123.2,31.3,0.0,10.5,20.9,99
 112,-1.31435,-49.34437,S 1 18 51.66,O 49 20 39.73,Muaná,1504901,PA,3776,100.9,0.3,1105.6,722.5,0.0,1361.3,485.7,99
 113,-1.36009,-48.26134,S 1 21 36.32,O 48 15 40.82,Benevides,1501501,PA,189,125.4,0.3,55.3,0.0,0.0,0.0,8.3,100
 114,-1.19187,-48.23730,S 1 11 30.73,O 48 14 14.28,Santa Bárbara do Pará,1506351,PA,279,160.2,0.2,99.2,0.0,0.0,0.0,19.6,100
 115,-0.81338,-48.95588,S 0 48 48.17,O 48 57 21.17,Cachoeira do Arari,1502004,PA,3115,73.7,0.2,305.7,2.2,0.0,2267.7,465.7,99
 116,-0.92904,-46.93052,S 0 55 44.54,O 46 55 49.87,Tracuateua,1508035,PA,858,469.3,0.2,92.7,86.4,0.0,188.8,20.8,99
 117,-0.90151,-47.34586,S 0 54 5.44,O 47 20 45.10,Santarém Novo,1506906,PA,230,148.8,0.2,68.2,2.3,0.0,1.9,8.8,100
 118,-0.74831,-47.02402,S 0 44 53.92,O 47 1 26.47,Quatipuru,1506112,PA,326,82.1,0.2,71.9,88.4,0.0,24.9,58.7,100
 119,-1.72515,-46.89921,S 1 43 30.54,O 46 53 57.16,Santa Luzia do Pará,1506559,PA,1367,1250.5,0.2,78.5,38.0,0.0,0.0,0.0,100
 120,-0.93652,-47.15277,S 0 56 11.47,O 47 9 9.97,Primavera,1506104,PA,261,179.0,0.1,43.3,21.4,0.0,9.3,8.0,100
 121,-1.18797,-47.12751,S 1 11 16.69,O 47 7 39.04,Capanema,1502202,PA,619,518.5,0.1,50.9,17.7,0.0,29.5,2.4,100
 122,-1.36579,-47.53045,S 1 21 56.84,O 47 31 49.62,Santa Maria do Pará,1506609,PA,460,415.8,0.1,44.2,0.0,0.0,0.0,0.0,100
 123,-1.45522,-47.89865,S 1 27 18.79,O 47 53 55.14,Inhangapi,1503408,PA,476,327.7,0.1,116.3,0.0,0.0,6.8,25.2,99
 124,-0.81267,-48.58165,S 0 48 45.61,O 48 34 53.94,Salvaterra,1506302,PA,1048,116.8,0.1,198.1,0.1,0.0,433.3,299.7,100
 125,-0.53599,-48.67721,S 0 32 9.56,O 48 40 37.96,Soure,1507904,PA,3528,35.3,0.1,192.9,66.0,0.0,2502.9,730.9,100
 126,-1.56776,-50.04488,S 1 34 3.94,O 50 2 41.57,Curralinho,1502806,PA,3626,203.5,0.1,812.7,1997.7,0.0,241.5,370.6,99
 127,-1.20761,-47.74858,S 1 12 27.40,O 47 44 54.89,São Francisco do Pará,1507409,PA,480,418.1,0.1,60.5,0.0,0.0,1.3,0.1,99
 128,-0.91777,-48.11811,S 0 55 3.97,O 48 7 5.20,Vigia,1508209,PA,536,219.3,0.1,138.9,0.0,0.0,16.4,161.4,99
 129,-0.23850,-50.74083,S 0 14 18.60,O 50 44 26.99,Afuá,1500305,PA,8382,29.1,0.0,2774.7,2550.9,0.0,286.7,2740.6,100
 130,-0.79152,-49.99786,S 0 47 29.47,O 49 59 52.30,Anajás,1500701,PA,6940,177.0,0.0,2629.3,3787.8,0.0,209.1,136.8,100
 131,-1.34293,-48.39038,S 1 20 34.55,O 48 23 25.37,Ananindeua,1500800,PA,185,87.3,0.0,79.3,0.0,0.0,0.0,18.4,100
 132,-0.99609,-46.42827,S 0 59 45.92,O 46 25 41.77,Augusto Corrêa,1500909,PA,1100,728.8,0.0,193.1,97.1,0.0,4.7,76.3,100
 133,-1.39347,-47.31005,S 1 23 36.49,O 47 18 36.18,Bonito,1501600,PA,590,544.0,0.0,45.8,0.2,0.0,0.0,0.0,99
 134,0.01942,-49.88506,N 0 1 9.91,O 49 53 6.22,Chaves,1502509,PA,13116,99.5,0.0,2157.5,1861.1,0.0,5236.2,3761.7,100
 135,-0.89755,-48.27572,S 0 53 51.18,O 48 16 32.59,Colares,1502608,PA,612,90.7,0.0,132.8,0.0,0.0,15.9,372.6,100
 136,-1.17423,-47.57619,S 1 10 27.23,O 47 34 34.28,Igarapé-Açu,1503200,PA,789,688.5,0.0,92.5,0.8,0.0,6.0,1.2,99
 137,-1.88563,-49.49551,S 1 53 8.27,O 49 29 43.84,Limoeiro do Ajuru,1504000,PA,1494,62.0,0.0,404.2,469.1,0.0,50.9,507.8,100
 138,-1.98969,-47.50665,S 1 59 22.88,O 47 30 23.94,Mãe do Rio,1504059,PA,471,449.9,0.0,19.7,0.0,0.0,0.0,1.4,99
 139,-1.39704,-48.32114,S 1 23 49.34,O 48 19 16.10,Marituba,1504422,PA,103,65.9,0.0,29.9,0.0,0.0,0.0,7.2,99
 140,-1.10948,-49.06293,S 1 6 34.13,O 49 3 46.55,Ponta de Pedras,1505700,PA,3378,52.3,0.0,517.0,91.7,0.0,2254.4,462.6,99
 141,-0.55415,-49.32373,S 0 33 14.94,O 49 19 25.43,Santa Cruz do Arari,1506401,PA,1078,0.0,0.0,0.0,5.7,0.0,1044.1,28.2,100
 142,-1.09607,-48.14127,S 1 5 45.85,O 48 8 28.57,Santo Antônio do Tauá,1507003,PA,540,325.1,0.0,111.2,0.0,0.0,6.8,96.9,99
 143,-1.43102,-49.60420,S 1 25 51.67,O 49 36 15.12,São Sebastião da Boa Vista,1507706,PA,1636,124.0,0.0,397.1,823.9,0.0,175.1,115.9,99
