geocodigo,var,kwh_total,n_uc_total,superficies_hidrica_ha,urban_area_ha,fires_ha,temp_urbana_c,pop,df_km2,pib_rpt_2020
1504604,fires_ha,0.3022816827260382,-0.4796124266240188,0.3069655648663411,0.15783758682371687,1.0,0.48763097055847837,-0.644160313196553,0.40499963796329774,-0.6321944537273995
1504604,temp_urbana_c,0.1248677084096835,0.35838972362653904,-0.4500998624379058,-0.46587181136050426,0.48763097055847837,1.0,0.1789147039198252,0.6495545862831443,0.216725257673191
1504604,pop,-0.36566479625193826,0.9355091709095466,-0.5393068328908058,-0.3810135155187839,-0.644160313196553,0.1789147039198252,1.0,-0.04939394651708163,0.9541998015864228
1504604,df_km2,0.26558207703695264,0.03946114697576163,-0.6984244558080467,-0.6824682574012986,0.40499963796329774,0.6495545862831443,-0.04939394651708163,1.0,-0.19619765128624236
1504604,pib_rpt_2020,-0.4333155639353609,0.8868598147782877,-0.4279991663162796,-0.3278242607942107,-0.6321944537273995,0.216725257673191,0.9541998015864228,-0.19619765128624236,1.0
1504703,kwh_total,1.0,0.5534194892509205,-0.4621842956158991,-0.10274265982078828,0.26895184664446437,0.8263025638934506,0.14629812197304706,0.48229595914897494,0.7916842691857704
1504703,n_uc_total,0.5534194892509205,1.0,-0.7290113699942419,0.33288428469508535,0.014171104233406066,0.297754710451367,0.7177496405919479,0.6975726903588678,0.904907662065318
1504703,superficies_hidrica_ha,-0.4621842956158991,-0.7290113699942419,1.0,-0.30830022015445785,0.46707623192110004,-0.4251131627626569,-0.8423016444129893,-0.4697650133537872,-0.7846084521703395
1504703,urban_area_ha,-0.10274265982078828,0.33288428469508535,-0.30830022015445785,1.0,-0.20694945657915026,-0.06737572543104652,0.4325038188830175,0.41178071552147166,0.3555641403357305
1504703,fires_ha,0.26895184664446437,0.014171104233406066,0.46707623192110004,-0.20694945657915026,1.0,0.27686850114558803,-0.4510669525720204,0.48318670242580886,0.05200599614549814
1504703,temp_urbana_c,0.8263025638934506,0.297754710451367,-0.4251131627626569,-0.06737572543104652,0.27686850114558803,1.0,0.22258375002105577,0.5448383003008128,0.6034718903372018
1504703,pop,0.14629812197304706,0.7177496405919479,-0.8423016444129893,0.4325038188830175,-0.4510669525720204,0.22258375002105577,1.0,0.4771476830745787,0.6093858101437379
1504703,df_km2,0.48229595914897494,0.6975726903588678,-0.4697650133537872,0.41178071552147166,0.48318670242580886,0.5448383003008128,0.4771476830745787,1.0,0.7468357894530706
1504703,pib_rpt_2020,0.7916842691857704,0.904907662065318,-0.7846084521703395,0.3555641403357305,0.05200599614549814,0.6034718903372018,0.6093858101437379,0.7468357894530706,1.0
1504752,kwh_total,1.0,0.9825677099563179,-0.40312469125732453,-0.474593071700504,-0.30267661659181855,-0.7484128798238334,0.9509315265586423,,-0.1045469641142454
1504752,n_uc_total,0.9825677099563179,1.0,-0.3423979489912795,-0.464232275915419,-0.3752091831952662,-0.7525579743206803,0.9758440835288467,,-0.12431514507903568
1504752,superficies_hidrica_ha,-0.40312469125732453,-0.3423979489912795,1.0,0.36575480298469937,0.4057954366172998,-0.033655406897509406,-0.21696488388225135,,0.5144648944549403
1504752,urban_area_ha,-0.474593071700504,-0.464232275915419,0.36575480298469937,1.0,-0.33604285309325216,0.7513446309720715,-0.38242992882932386,,-0.5050059856721656
1504752,fires_ha,-0.30267661659181855,-0.3752091831952662,0.4057954366172998,-0.33604285309325216,1.0,-0.27041629660488264,-0.33101697628840043,,0.9147786252158993
1504752,temp_urbana_c,-0.7484128798238334,-0.7525579743206803,-0.033655406897509406,0.7513446309720715,-0.27041629660488264,1.0,-0.7386683632188923,,-0.5491843865243891
