system:index,forest_area,rd,.geo
309,8.843368,2.2424088,"{""type"":""MultiPoint"",""coordinates"":[]}"
310,31.379934,2.1519427,"{""type"":""MultiPoint"",""coordinates"":[]}"
311,31.277271,1.8871214,"{""type"":""MultiPoint"",""coordinates"":[]}"
312,22.510368,1.8871214,"{""type"":""MultiPoint"",""coordinates"":[]}"
313,14.092902,1.706941,"{""type"":""MultiPoint"",""coordinates"":[]}"
314,6.748139,1.6927748,"{""type"":""MultiPoint"",""coordinates"":[]}"
315,12.186528,2.0578158,"{""type"":""MultiPoint"",""coordinates"":[]}"
316,26.417953,2.4288714,"{""type"":""MultiPoint"",""coordinates"":[]}"
317,26.173805,2.2688615,"{""type"":""MultiPoint"",""coordinates"":[]}"
318,47.20813,1.870035,"{""type"":""MultiPoint"",""coordinates"":[]}"
319,14.242684,1.3722113,"{""type"":""MultiPoint"",""coordinates"":[]}"
320,23.679808,1.1459929,"{""type"":""MultiPoint"",""coordinates"":[]}"
321,4.0630875,1.5789988,"{""type"":""MultiPoint"",""coordinates"":[]}"
322,5.3726234,1.9466726,"{""type"":""MultiPoint"",""coordinates"":[]}"
323,1.543129,1.8313285,"{""type"":""MultiPoint"",""coordinates"":[]}"
324,8.578323,1.7450316,"{""type"":""MultiPoint"",""coordinates"":[]}"
325,17.555538,1.8754406,"{""type"":""MultiPoint"",""coordinates"":[]}"
326,10.743763,1.6525414,"{""type"":""MultiPoint"",""coordinates"":[]}"
327,3.983911,1.8579438,"{""type"":""MultiPoint"",""coordinates"":[]}"
328,7.2928443,1.8609486,"{""type"":""MultiPoint"",""coordinates"":[]}"
329,2.2180557,1.7440512,"{""type"":""MultiPoint"",""coordinates"":[]}"
330,4.006846,1.702744,"{""type"":""MultiPoint"",""coordinates"":[]}"
331,53.211056,2.023382,"{""type"":""MultiPoint"",""coordinates"":[]}"
332,53.211056,1.8607876,"{""type"":""MultiPoint"",""coordinates"":[]}"
333,54.788548,1.4978781,"{""type"":""MultiPoint"",""coordinates"":[]}"
334,46.147865,1.6964443,"{""type"":""MultiPoint"",""coordinates"":[]}"
335,60.704216,1.9408623,"{""type"":""MultiPoint"",""coordinates"":[]}"
336,37.02839,2.2090096,"{""type"":""MultiPoint"",""coordinates"":[]}"
337,29.87002,2.6293452,"{""type"":""MultiPoint"",""coordinates"":[]}"
338,54.46093,2.5593376,"{""type"":""MultiPoint"",""coordinates"":[]}"
339,54.46093,2.2018855,"{""type"":""MultiPoint"",""coordinates"":[]}"
340,13.076681,2.2018855,"{""type"":""MultiPoint"",""coordinates"":[]}"
341,13.076681,2.14508,"{""type"":""MultiPoint"",""coordinates"":[]}"
342,57.23557,0.20722136,"{""type"":""MultiPoint"",""coordinates"":[]}"
343,57.23557,0.114112444,"{""type"":""MultiPoint"",""coordinates"":[]}"
344,15.156492,0.114112444,"{""type"":""MultiPoint"",""coordinates"":[]}"
345,36.05334,0.93431276,"{""type"":""MultiPoint"",""coordinates"":[]}"
346,21.974174,1.5672672,"{""type"":""MultiPoint"",""coordinates"":[]}"
347,22.955057,1.8325986,"{""type"":""MultiPoint"",""coordinates"":[]}"
